iter	Passed	Remaining
586	3068	2159
587	3075	2154
588	3080	2149
589	3085	2144
590	3089	2137
591	3093	2131
592	3097	2126
593	3102	2120
594	3107	2114
595	3110	2108
596	3117	2104
597	3122	2099
598	3128	2094
599	3132	2088
600	3138	2083
601	3143	2077
602	3150	2074
603	3155	2068
604	3159	2062
605	3164	2057
606	3168	2051
607	3173	2046
608	3180	2042
609	3185	2036
610	3188	2030
611	3192	2024
612	3198	2019
613	3203	2013
614	3208	2008
615	3213	2003
616	3217	1997
617	3221	1991
618	3224	1984
619	3228	1979
620	3233	1973
621	3238	1968
622	3243	1963
623	3247	1957
624	3251	1950
625	3255	1944
626	3261	1940
627	3265	1934
628	3270	1929
629	3274	1923
630	3281	1918
631	3286	1913
632	3290	1907
633	3297	1903
634	3301	1897
635	3306	1892
636	3311	1887
637	3316	1881
638	3321	1876
639	3327	1871
640	3330	1865
641	3335	1860
642	3341	1855
643	3347	1850
644	3351	1844
645	3355	1838
646	3359	1832
647	3362	1826
648	3366	1820
649	3370	1815
650	3374	1808
651	3378	1803
652	3387	1800
653	3392	1794
654	3397	1789
655	3402	1784
656	3406	1778
657	3409	1772
658	3415	1767
659	3418	1761
660	3423	1755
661	3427	1750
662	3431	1744
663	3436	1739
664	3440	1733
665	3445	1727
666	3448	1721
667	3451	1715
668	3455	1709
669	3460	1704
670	3465	1699
671	3470	1694
672	3475	1688
673	3480	1683
674	3486	1678
675	3490	1672
676	3496	1667
677	3499	1662
678	3504	1656
679	3510	1651
680	3514	1646
681	3519	1640
682	3523	1635
683	3531	1631
684	3536	1626
685	3542	1621
686	3546	1615
687	3551	1610
688	3555	1604
689	3559	1599
690	3565	1594
691	3570	1589
692	3574	1583
693	3579	1578
694	3584	1573
695	3587	1567
696	3591	1561
697	3595	1555
698	3601	1550
699	3606	1545
700	3612	1540
701	3617	1535
702	3630	1533
703	3641	1531
704	3651	1527
705	3660	1524
706	3665	1519
707	3671	1514
708	3677	1509
709	3683	1504
710	3686	1498
711	3692	1493
712	3697	1488
713	3701	1482
714	3708	1478
715	3712	1472
716	3716	1466
717	3720	1461
718	3723	1455
719	3727	1449
720	3732	1444
721	3737	1439
722	3741	1433
723	3744	1427
724	3748	1422
725	3752	1416
726	3757	1411
727	3761	1405
728	3764	1399
729	3768	1393
730	3771	1387
731	3775	1382
732	3780	1377
733	3785	1371
734	3791	1366
735	3795	1361
736	3799	1356
737	3803	1350
738	3808	1344
739	3814	1340
740	3820	1335
741	3825	1330
742	3830	1324
743	3834	1319
744	3838	1313
745	3842	1308
746	3846	1302
747	3850	1297
748	3854	1291
749	3858	1286
750	3863	1280
751	3868	1275
752	3873	1270
753	3878	1265
754	3882	1259
755	3887	1254
756	3891	1249
757	3896	1243
758	3900	1238
759	3904	1233
760	3908	1227
761	3911	1221
762	3916	1216
763	3922	1211
764	3925	1205
765	3931	1200
766	3934	1195
767	3942	1191
768	3951	1186
769	3963	1183
770	3966	1178
771	3969	1172
772	3978	1168
773	3984	1163
774	3989	1158
775	3996	1153
776	4002	1148
777	4007	1143
778	4011	1137
779	4016	1132
780	4021	1127
781	4028	1122
782	4033	1117
783	4039	1112
784	4046	1108
785	4052	1103
786	4059	1098
787	4064	1093
788	4069	1088
789	4076	1083
790	4084	1079
791	4088	1073
792	4094	1068
793	4099	1063
794	4106	1058
795	4111	1053
796	4115	1048
797	4119	1042
798	4126	1038
799	4129	1032
800	4134	1027
801	4140	1022
802	4146	1017
803	4151	1012
804	4157	1007
805	4161	1001
806	4166	996
807	4172	991
808	4175	985
809	4180	980
810	4185	975
811	4191	970
812	4198	965
813	4206	961
814	4213	956
815	4220	951
816	4226	946
817	4234	942
818	4241	937
819	4248	932
820	4256	928
821	4263	923
822	4268	918
823	4275	913
824	4282	908
825	4288	903
826	4299	899
827	4306	894
828	4325	892
829	4338	888
830	4349	884
831	4360	880
832	4371	876
833	4392	874
834	4403	870
835	4408	864
836	4413	859
837	4419	854
838	4424	849
839	4428	843
840	4435	838
841	4439	833
842	4444	827
843	4452	822
844	4457	817
845	4463	812
846	4469	807
847	4472	801
848	4478	796
849	4482	791
850	4487	785
851	4492	780
852	4501	775
853	4507	770
854	4518	766
855	4523	760
856	4530	755
857	4544	752
858	4556	747
859	4569	743
860	4585	740
861	4600	736
862	4613	732
863	4624	727
864	4636	723
865	4648	719
866	4659	714
867	4673	710
868	4684	706
869	4693	701
870	4705	696
871	4716	692
872	4730	688
873	4746	684
874	4751	678
875	4755	673
876	4759	667
877	4763	661
878	4768	656
879	4773	650
880	4778	645
881	4783	640
882	4789	634
883	4793	629
884	4797	623
885	4801	617
886	4805	612
887	4810	606
888	4815	601
889	4819	595
890	4825	590
891	4837	585
892	4845	580
893	4849	574
894	4852	569
895	4858	563
896	4864	558
897	4868	552
898	4873	547
899	4877	541
900	4881	536
901	4888	531
902	4892	525
903	4897	520
904	4901	514
905	4906	509
906	4910	503
907	4914	497
908	4917	492
909	4922	486
910	4927	481
911	4933	476
912	4937	470
913	4944	465
914	4949	459
915	4953	454
916	4958	448
917	4962	443
918	4967	437
919	4973	432
920	4979	427
921	4984	421
922	4990	416
923	4995	410
924	4998	405
925	5002	399
926	5007	394
927	5014	389
928	5022	383
929	5028	378
930	5032	372
931	5039	367
932	5044	362
933	5048	356
934	5053	351
935	5058	345
936	5063	340
937	5070	335
938	5074	329
939	5078	324
940	5082	318
941	5088	313
942	5092	307
943	5097	302
944	5101	296
945	5105	291
946	5109	285
947	5116	280
948	5121	275
949	5127	269
950	5134	264
951	5139	259
952	5144	253
953	5149	248
954	5154	242
955	5158	237
956	5163	232
957	5166	226
958	5171	221
959	5174	215
960	5179	210
961	5185	204
962	5189	199
963	5194	193
964	5199	188
965	5203	183
966	5208	177
967	5212	172
968	5217	166
969	5222	161
970	5226	156
971	5231	150
972	5234	145
973	5238	139
974	5243	134
975	5249	129
976	5254	123
977	5258	118
978	5261	112
979	5265	107
980	5270	102
981	5274	96
982	5281	91
983	5287	85
984	5292	80
985	5296	75
986	5301	69
987	5304	64
988	5310	59
989	5315	53
990	5321	48
991	5325	42
992	5330	37
993	5334	32
994	5340	26
995	5345	21
996	5350	16
997	5356	10
998	5360	5
999	5365	0
